Math_score,Reading_score,Writing_score,Placement_score,Club_Join_Date,Placement_Offer_Count
73,70,65,61,2020,1
63,73,70,78,2020,3
70,79,64,72,2018,2
67,66,76,70,2020,2
60,70,76,74,2019,2
63,63,70,65,2019,2
61,74,79,76,2018,3
64,79,67,79,2020,3
68,62,68,79,2019,3
68,67,75,66,2019,2
75,69,70,71,2019,2
60,77,72,67,2018,2
77,64,79,65,2019,2
71,67,74,75,2020,3
79,70,68,80,2020,3
64,78,61,72,2020,2
77,73,69,63,2018,1
68,75,69,75,2020,3
77,61,66,72,2020,2
74,69,66,71,2018,2
80,63,64,67,2020,2
65,69,65,61,2018,1
61,64,61,79,2019,3
69,65,71,78,2019,3
80,60,63,77,2020,3
76,69,63,60,2018,1
78,62,69,66,2018,2
60,80,79,63,2018,1
73,62,71,62,2018,1
